Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Budesonide;BUDESONIDE 400MCG 50 UNITA' USO RESPIRATORIO;PULMAXAN*polv inal 50 dosi 400 mcg;18,13;ASTRAZENECA SpA;027621034;C4D;X;;
Budesonide;BUDESONIDE 200MCG 200 UNITA' USO RESPIRATORIO;BUDIAIR*soluz pressurizz inal 200 dosi 200 mcg;27,53;CHIESI FARMACEUTICI SpA;035656014;C4E;;Toscana;
Budesonide;BUDESONIDE 200MCG 200 UNITA' USO RESPIRATORIO;MIFLO*soluz pressurizz inal 200 dosi 200 mcg;27,53;PROMEDICA Srl;035657016;C4E;;Toscana;
Budesonide;BUDESONIDE 200MCG 200 UNITA' USO RESPIRATORIO;AIRCORT*sosp inal 200 dosi 200 mcg;27,95;ITALCHIMICI SpA;033736012;C4E;;Toscana;
Budesonide;BUDESONIDE 0,025% 30G CREMA USO DERMATOLOGICO;BIDIEN*crema derm 30 g 0,025%;4,39;IDI FARMACEUTICI Srl;026297010;C4F;;;
Budesonide;BUDESONIDE 400MCG 60 UNITA' USO RESPIRATORIO;BUSODED*polv inal 60 cps 400 mcg;11,36;I.B.N.SAVIO Srl;036378065;C4G;X;;
Budesonide;BUDESONIDE 400MCG 60 UNITA' USO RESPIRATORIO;MIFLONIDE*polv inal 60 cps 400 mcg;16,80;NOVARTIS FARMA SpA;034413284;C4G;X;;
Budesonide;BUDESONIDE 200MCG 120 UNITA' USO RESPIRATORIO;BUSODED*polv inal 120 cps 200 mcg;11,36;I.B.N.SAVIO Srl;036378053;C4H;X;;
Budesonide;BUDESONIDE 200MCG 120 UNITA' USO RESPIRATORIO;MIFLONIDE*polv inal 120 cps 200 mcg;16,80;NOVARTIS FARMA SpA;034413132;C4H;X;;
Budesonide;BUDESONIDE 100MCG 200 UNITA' USO RESPIRATORIO;PULMAXAN*polv inal 200 dosi 100 mcg;21,94;ASTRAZENECA SpA;027621010;C4I;;;
Budesonide;BUDESONIDE 0,025% 30G UNGUENTO USO DERMATOLOGICO;BIDIEN*ung derm 30 g 0,025%;4,39;IDI FARMACEUTICI Srl;026297022;C4K;;;
Budesonide;BUDESONIDE 400MCG 100 UNITA' USO RESPIRATORIO;AIRCORT*sosp inal 100 dosi 400 mcg;27,95;ITALCHIMICI SpA;033736051;C4L;;;
Budesonide;BUDESONIDE 3MG 50 UNITA' USO ORALE;ENTOCIR*50 cps 3 mg rilascio modificato;68,14;ASTRAZENECA SpA;034734018;C4M;;;
Budesonide;BUDESONIDE 3MG 50 UNITA' USO ORALE;INTESTICORT*50 cps gastrores 3 mg;68,14;DR.FALK PHARMA GMBH;036507046;C4M;;;
Budesonide/formoterolo;BUDESONIDE+FORMOTEROLO 160+4,5MCG 120 DOSI USO RESPIRATORIO;ASSIEME*polv inal 120 dosi 160 mcg + 4,5 mcg;65,70;SIMESA SpA;035362060;IHA;;;
Budesonide/formoterolo;BUDESONIDE+FORMOTEROLO 160+4,5MCG 120 DOSI USO RESPIRATORIO;SINESTIC*polv inal 120 dosi 160 mcg + 4,5 mcg;65,70;ASTRAZENECA SpA;035260064;IHA;;;
Budesonide/formoterolo;BUDESONIDE+FORMOTEROLO 160+4,5MCG 120 DOSI USO RESPIRATORIO;SYMBICORT*polv inal 120 dosi 160 mcg + 4,5 mcg;65,70;ASTRAZENECA SpA;035194063;IHA;;;
Budesonide/formoterolo;BUDESONIDE+FORMOTEROLO 320+9MCG 60 DOSI USO RESPIRATORIO;SINESTIC*polv inal 60 dosi 320 mcg + 9 mcg;65,70;ASTRAZENECA SpA;035260215;IHB;;;
Budesonide/formoterolo;BUDESONIDE+FORMOTEROLO 320+9MCG 60 DOSI USO RESPIRATORIO;SYMBICORT*polv inal 60 dosi 320 mcg + 9 mcg;65,70;ASTRAZENECA SpA;035194214;IHB;;;
Budesonide/formoterolo;BUDESONIDE+FORMOTEROLO 80+4,5MCG 120 DOSI USO RESPIRATORIO;ASSIEME MITE*polv inal 120 dosi 80 mcg + 4,5 mcg;52,02;SIMESA SpA;035363062;IHC;;;
Budesonide/formoterolo;BUDESONIDE+FORMOTEROLO 80+4,5MCG 120 DOSI USO RESPIRATORIO;SYMBICORT MITE*polv inal 120 dosi 80 mcg + 4,5 mcg;52,02;ASTRAZENECA SpA;035603063;IHC;;;
Buprenorfina;BUPRENORFINA 0,2MG 10 UNITA' USO ORALE;TEMGESIC*10 cpr sublinguali 0,2 mg;3,62;RB PHARMACEUTICALS (ITALIA)Srl;025215043;IIA;;;
Buprenorfina;BUPRENORFINA 0,3MG 1ML 5 UNITA' USO PARENTERALE;TEMGESIC*5 fiale IM EV 0,3 mg 1 ml;6,85;RB PHARMACEUTICALS (ITALIA)Srl;025215017;IIB;;;
Buprenorfina;BUPRENORFINA 20MG 35MCG/ORA 3 CEROTTI USO TRANSDERMICO;TRANSTEC*3 cerotti transd 35 mcg/ora;26,01;GRUNENTHAL ITALIA Srl;035568017;IIC;;;
Buprenorfina;BUPRENORFINA 30MG 52,5MCG/ORA 3 CEROTTI USO TRANSDERMICO;TRANSTEC*3 cerotti transd 52,5 mcg/ora;38,52;GRUNENTHAL ITALIA Srl;035568043;IID;;;
Buprenorfina;BUPRENORFINA 40MG 70MCG/ORA 3 CEROTTI USO TRANSDERMICO;TRANSTEC*3 cerotti transd 70 mcg/ora;47,95;GRUNENTHAL ITALIA Srl;035568070;IIE;;;
Buprenorfina/naloxone;BUPRENORFINA+NALOXONE 2+0,5MG 7 UNITA' USO ORALE;SUBOXONE*7 cpr sublinguali 2 mg + 0,5 mg;7,49;RB PHARMACEUTICALS (ITALIA)Srl;037604016;G5A;;;
Buprenorfina/naloxone;BUPRENORFINA+NALOXONE 8+2MG 7 UNITA' USO ORALE;SUBOXONE*7 cpr sublinguali 8 mg + 2 mg;30,03;RB PHARMACEUTICALS (ITALIA)Srl;037604030;G5B;;;
Bupropione;BUPROPIONE 150MG 30 UNITA' USO ORALE RP;ELONTRIL*30 cpr 150 mg rilascio modificato flacone;34,20;GLAXOSMITHKLINE SpA;037697024;P1B;;;
Bupropione;BUPROPIONE 150MG 30 UNITA' USO ORALE RP;WELLBUTRIN*30 cpr 150 mg rilascio modificato flacone;34,20;GLAXOSMITHKLINE SpA;037685029;P1B;;;
Bupropione;BUPROPIONE 300MG 30 UNITA' USO ORALE RP;ELONTRIL*30 cpr 300 mg rilascio modificato flacone;41,04;GLAXOSMITHKLINE SpA;037697051;P1C;;;
Bupropione;BUPROPIONE 300MG 30 UNITA' USO ORALE RP;WELLBUTRIN*30 cpr 300 mg rilascio modificato flacone;41,04;GLAXOSMITHKLINE SpA;037685056;P1C;;;
Buserelin;BUSERELIN 0,1MG/EROGAZIONE SPRAY USO NASALE;SUPREFACT*soluz nasale 0,1 mg/erog 1 flacone 10 mg;40,89;SANOFI-AVENTIS SpA;025540028;IJA;;;
Buserelin;BUSERELIN 1MG/ML 5,5ML 1 UNITA' USO PARENTERALE;SUPREFACT*1 fiala SC 5,5 ml 1 mg/ml;19,33;SANOFI-AVENTIS SpA;025540016;IJB;;;
Buserelin;BUSERELIN 6,3MG 1 UNITA' USO PARENTERALE RP;SUPREFACT*1 siringa SC 6,3 mg rilascio prolungato;323,50;SANOFI-AVENTIS SpA;025540030;IJC;;;
Buserelin;BUSERELIN 9,45MG 1 UNITA' USO PARENTERALE RP;SUPREFACT*1 siringa SC 9,45 mg impianto depot;409,29;SANOFI-AVENTIS SpA;025540042;IJD;;;
Cabergolina;CABERGOLINA 0,5MG 8 UNITA' USO ORALE;CABERGOLINA*8 cpr 0,5 mg;29,94;SANDOZ SpA;037921020;CZA;X;;
Cabergolina;CABERGOLINA 0,5MG 8 UNITA' USO ORALE;CABERGOLINA*8 cpr 0,5 mg flacone;29,94;RATIOPHARM ITALIA Srl;037576028;CZA;X;;
Cabergolina;CABERGOLINA 0,5MG 8 UNITA' USO ORALE;ACTUALENE*8 cpr 0,5 mg flacone;30,84;PFIZER ITALIA Srl;033359035;CZA;X;;
Cabergolina;CABERGOLINA 0,5MG 8 UNITA' USO ORALE;DOSTINEX*8 cpr 0,5 mg flacone;30,84;PFIZER ITALIA Srl;028988032;CZA;X;;
Cabergolina;CABERGOLINA 0,5MG 2 UNITA' USO ORALE;CABERGOLINA*2 cpr 0,5 mg;9,47;SANDOZ SpA;037921018;CZB;X;;
Cabergolina;CABERGOLINA 0,5MG 2 UNITA' USO ORALE;CABERGOLINA*2 cpr 0,5 mg flacone;9,47;RATIOPHARM ITALIA Srl;037576016;CZB;X;;
Cabergolina;CABERGOLINA 0,5MG 2 UNITA' USO ORALE;DOSTINEX*2 cpr 0,5 mg flacone;10,37;PFIZER ITALIA Srl;028988018;CZB;X;;
Calcifediolo;CALCIFEDIOLO 1,5MG/10ML USO ORALE;DIDROGYL*os gtt 1,5 mg 10 ml;5,50;BRUNO FARMACEUTICI SpA;024139014;ILA;;;
Calcio acetato;CALCIO ACETATO 667MG 200 UNITA' USO ORALE;PHOSLO*200 cps 667 mg;33,10;FRESENIUS MEDICAL CARE IT. SpA;038697013;IMA;;;
Calcio acetato/magnesio carbonato;CALCIO ACETATO+MAGNESIO CARBONATO 435+235MG 180 UNITA' USO ORALE;OSVAREN*180 cpr riv 435 mg + 235 mg;30,58;FRESENIUS MEDICAL CARE IT. SpA;038540011;INA;;;
Calcio carbonato;CALCIO CARBONATO 1.000MG 30 UNITA' USO ORALE;CALCIO CARBONATO*30 cpr eff 1.000 mg;4,52;EG SpA;033871017;03A;X;;
Calcio carbonato;CALCIO CARBONATO 1.000MG 30 UNITA' USO ORALE;IDRACAL*30 cpr eff 1.000 mg;4,52;BRUNO FARMACEUTICI SpA;033486010;03A;X;;
Calcio carbonato;CALCIO CARBONATO 1.000MG 30 UNITA' USO ORALE;CALCIO*30 bust grat eff 1.000 mg;4,97;I.B.N.SAVIO Srl;032344020;03A;X;;
Calcio carbonato;CALCIO CARBONATO 1.000MG 30 UNITA' USO ORALE;CARBOSINT*30 bust grat 1.000 mg;4,97;CRINOS SpA;032323026;03A;X;;
Calcio carbonato;CALCIO CARBONATO 1.000MG 30 UNITA' USO ORALE;LUBICAL*30 cpr eff 1.000 mg;4,97;GLORIA MED PHARMA Srl;033236011;03A;X;;
Calcio carbonato;CALCIO CARBONATO 1.000MG 30 UNITA' USO ORALE;CACIT 1000*30 cpr eff 1.000 mg;5,87;WARNER CHILCOTT ITALY Srl;027476023;03A;X;;
Calcio carbonato;CALCIO CARBONATO 1.000MG 30 UNITA' USO ORALE;CALCIODIE*30 cpr eff 1.000 mg;6,52;SPA (SOC.PRO.ANTIBIOTICI) SpA;033373010;03A;X;;
Calcio carbonato;CALCIO CARBONATO 1.000MG 30 UNITA' USO ORALE;CALCIUM SANDOZ*30 bust grat eff 1.000 mg;7,19;SANDOZ SpA;005259041;03A;X;;
Calcio carbonato;CALCIO CARBONATO 1.250MG 60 UNITA' USO ORALE;METOCAL*60 cpr mast 1.250 mg;8,11;MADAUS GmbH;029472014;03B;;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,23;EG SpA;034794014;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,23;DOC GENERICI Srl;034799015;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,23;PENSA PHARMA SpA;034800019;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,23;ACTAVIS ITALY SpA;034871018;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,23;GERMED PHARMA SpA;034892012;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,23;ALMUS Srl;034929012;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,23;ABC FARMACEUTICI SpA;035007018;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,23;UNION HEALTH Srl;035121019;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,66;DR.REDDY'S Srl;035105016;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;DITROST*30 bust grat eff 1 g + 880 UI;4,66;S.F.GROUP Srl;035122011;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;DONICIL* os grat eff 30 bust 1 g + 880 UI;4,66;SIGMATAU GENERICS SpA;035137013;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;KALAZ D3*30 bust grat eff 1 g + 880 UI;4,66;I.B.N.SAVIO Srl;035103011;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CADTRE*30 bust grat eff 1 g + 880 UI;4,69;NEW RESEARCH Srl;034801011;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIO CARBONATO VITAMINA D3*30 bust grat eff 1 g + 880 UI;4,69;SOFAR SpA;035138015;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CACIT VITAMINA D3*30 bust grat eff 1 g + 880 UI;5,33;WARNER CHILCOTT ITALY Srl;032033019;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCICOL D3*30 cpr eff 1 g + 880 UI;7,50;FIDIA FARMACEUTICI SpA;034643015;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;CALCIUM D3 SANDOZ*30 cpr eff 1.000 mg + 880 UI;7,50;SANDOZ SpA;034642013;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 1.000MG+880UI 30 UNITA' USO ORALE;EUROCAL D3*30 bust grat eff 1 g + 880 UI;7,50;AMDIPHARM LTD;032840023;AQA;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 500MG+400UI 60 UNITA' USO ORALE;OROTRE*60 cpr 500 mg + 400 UI flacone;7,92;TAKEDA ITALIA SpA;033861028;AQC;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 500MG+400UI 60 UNITA' USO ORALE;IDEOS*60 cpr mast 500 mg + 400 UI;8,37;ROTTAPHARM SpA;034213049;AQC;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 600MG+400UI 60 UNITA' USO ORALE;METOCAL VITAMINA D3*60 cpr mast 600 mg + 400 UI;8,37;MADAUS GmbH;035027034;AQD;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 600MG+400UI 60 UNITA' USO ORALE;NATECAL D3*60 cpr mast 600 mg + 400 UI;9,60;ITALFARMACO SpA;034899017;AQD;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 600MG+400UI 60 UNITA' USO ORALE;NATECAL D3*60 cpr orodispers 600 mg + 400 UI;10,06;ITALFARMACO SpA;034899043;AQD;X;;
Calcio carbonato/colecalciferolo;CALCIO CARBONATO+COLECALCIFEROLO 600MG+400UI 60 UNITA' USO ORALE;TONACAL D3*60 cpr mast 600 mg + 400 UI;10,10;ITALFARMACO SpA;034932018;AQD;X;;
Calcio cloruro;CALCIO CLORURO 500MG 5 UNITA' USO PARENTERALE;CALCIO CLORURO*5 fiale EV 500 mg 10 ml;1,49;SALF SpA;030656019;55A;;;
Calcio cloruro;CALCIO CLORURO 500MG 5 UNITA' USO PARENTERALE;CALCIO CLORURO*5 fiale EV 500 mg 10 ml;1,49;MONICO SpA;030786026;55A;;;
Calcio folinato;CALCIO FOLINATO 50MG 1 UNITA' USO PARENTERALE;SANIFOLIN*1 fiala IM EV 50 mg;7,07;FAR.G.IM. Srl;027683046;IOA;;;
Calcio fosfato/colecalciferolo;CALCIO FOSFATO+COLECALCIFEROLO 1.200MG+880UI 30 UNITA' USO ORALE;CALPLUS D3*os polv 30 bust 1.200 mg + 800 UI;6,86;LAB.GUIDOTTI SpA;033711019;AQZ;X;;
Calcio fosfato/colecalciferolo;CALCIO FOSFATO+COLECALCIFEROLO 1.200MG+880UI 30 UNITA' USO ORALE;FOSCAL D3*os polv 30 bust 1.200 mg + 800 UI;6,86;F.I.R.M.A. SpA;033723014;AQZ;X;;
Calcio fosfato/colecalciferolo;CALCIO FOSFATO+COLECALCIFEROLO 1.200MG+880UI 30 UNITA' USO ORALE;OSTEOFOS D3*os polv 30 bust 1.200 mg + 800 UI;6,86;A.MENARINI IND.FARM.RIUN.Srl;033700016;AQZ;X;;
Calcio polistirensolfonato;CALCIO POLISTIRENSOLFONATO 500G USO ORALE O RETTALE;SORBISTERIT*os rett polv 500 g;29,09;FRESENIUS MEDICAL CARE IT. SpA;039564012;IPA;;;
Calcipotriolo;CALCIPOTRIOLO 0,005% 30G UNGUENTO USO DERMATOLOGICO;CALCIPOTRIOLO*crema derm 30 g 0,05 mg/g;8,92;SANDOZ SpA;038011019;DGA;X;;
Calcipotriolo;CALCIPOTRIOLO 0,005% 30G UNGUENTO USO DERMATOLOGICO;DAIVONEX*ung derm 30 g 0,005%;9,70;LEO PHARMA A/S;028253019;DGA;X;;
Calcipotriolo;CALCIPOTRIOLO 0,005% 30G UNGUENTO USO DERMATOLOGICO;PSORCUTAN*crema derm idrofoba 30 g 0,005%;9,72;LEO PHARMA A/S;028254011;DGA;X;;
Calcipotriolo;CALCIPOTRIOLO 0,005% 30G UNGUENTO USO DERMATOLOGICO;DAIVONEX*crema derm 30 g 0,005%;11,88;LEO PHARMA A/S;028253021;DGA;X;;
Calcipotriolo;CALCIPOTRIOLO 0,005% 30G UNGUENTO USO DERMATOLOGICO;PSORCUTAN*crema derm 30 g 50 mcg/g;11,88;LEO PHARMA A/S;028254023;DGA;X;;
Calcipotriolo;CALCIPOTRIOLO 0,005% 30ML SOLUZIONE USO DERMATOLOGICO;CALCIPOTRIOLO*soluz derm 30 ml 0,005%;8,92;SANDOZ SpA;038918013;DGB;X;;
Calcipotriolo;CALCIPOTRIOLO 0,005% 30ML SOLUZIONE USO DERMATOLOGICO;DAIVONEX*soluz derm 30 ml 0,005%;11,88;LEO PHARMA A/S;028253045;DGB;X;;
Calcipotriolo;CALCIPOTRIOLO 0,005% 30ML SOLUZIONE USO DERMATOLOGICO;PSORCUTAN*soluz derm 30 ml 50 mcg/ml;11,88;LEO PHARMA A/S;028254047;DGB;X;;
Calcipotriolo/betametasone;CALCIPOTRIOLO+BETAMETASONE 30G 50MCG/G+0,5MG/G USO DERMATOLOGICO GEL;DOVOBET*gel flacone 30 g 50 mcg/g + 0,5 mg/g;25,26;LEO PHARMA A/S;035675141;IQA;;;
Calcipotriolo/betametasone;CALCIPOTRIOLO+BETAMETASONE 30G 50MCG/G+0,5MG/G USO DERMATOLOGICO GEL;XAMIOL*gel flacone 30 g 50 mcg/g + 0,5 mg/g;25,26;LEO PHARMA A/S;038767024;IQA;;;
Calcipotriolo/betametasone;CALCIPOTRIOLO+BETAMETASONE 30G 50MCG/G+0,5MG/G USO DERMATOLOGICO UNGUENTO;DOVOBET*ung derm 30 g 50 mcg/g + 0,5 mg/g;25,26;LEO PHARMA A/S;035675038;IQC;;;
Calcipotriolo/betametasone;CALCIPOTRIOLO+BETAMETASONE 30G 50MCG/G+0,5MG/G USO DERMATOLOGICO UNGUENTO;TOKEN*ung 30 g tubo 50 mcg/g + 0,5 mg/g;25,26;LEO PHARMA SpA;035676030;IQC;;;
Calcitonina di salmone;CALCITONINA SINTETICA DI SALMONE 50UI 5 UNITA' USO PARENTERALE;CALCITONINA*5 fiale IM EV SC 50 UI + 5 siringhe 1 ml;9,45;NOVARTIS FARMA SpA;023704214;56A;X;;
Calcitonina di salmone;CALCITONINA SINTETICA DI SALMONE 100UI 5 UNITA' USO PARENTERALE;CALCITONINA*5 fiale IM EV SC 100 UI + 5 siringhe 1 ml;19,21;NOVARTIS FARMA SpA;023704202;56C;X;;
Calcitriolo;CALCITRIOLO 0,25MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps 0,25 mcg;4,37;DR.REDDY'S Srl;035101017;AVA;X;;
Calcitriolo;CALCITRIOLO 0,25MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps 0,25 mcg;4,37;DOC GENERICI Srl;035237015;AVA;X;;
Calcitriolo;CALCITRIOLO 0,25MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps 0,25 mcg;4,37;EG SpA;035238017;AVA;X;;
Calcitriolo;CALCITRIOLO 0,25MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps 0,25 mcg;4,37;TEVA ITALIA Srl;035297199;AVA;X;;
Calcitriolo;CALCITRIOLO 0,25MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps molli 0,25 mcg;4,37;MYLAN SpA;035102019;AVA;X;;
Calcitriolo;CALCITRIOLO 0,25MCG 30 UNITA' USO ORALE;DIFIX*30 cps 0,25 mcg;4,37;PROMEDICA Srl;027231012;AVA;X;;
Calcitriolo;CALCITRIOLO 0,25MCG 30 UNITA' USO ORALE;ROCALTROL*30 cps 0,25 mcg;6,32;ROCHE SpA;024280012;AVA;X;;
Calcitriolo;CALCITRIOLO 0,50MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps 0,5 mcg;7,30;DR.REDDY'S Srl;035101029;AVB;X;;
Calcitriolo;CALCITRIOLO 0,50MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps 0,50 mcg;7,30;DOC GENERICI Srl;035237027;AVB;X;;
Calcitriolo;CALCITRIOLO 0,50MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps 0,50 mcg;7,30;EG SpA;035238029;AVB;X;;
Calcitriolo;CALCITRIOLO 0,50MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps 0,50 mcg;7,30;TEVA ITALIA Srl;035297389;AVB;X;;
Calcitriolo;CALCITRIOLO 0,50MCG 30 UNITA' USO ORALE;CALCITRIOLO*30 cps molli 0,5 mcg;7,30;MYLAN SpA;035102021;AVB;X;;
Calcitriolo;CALCITRIOLO 0,50MCG 30 UNITA' USO ORALE;DIFIX*30 cps 0,50 mcg;7,30;PROMEDICA Srl;027231036;AVB;X;;
Calcitriolo;CALCITRIOLO 0,50MCG 30 UNITA' USO ORALE;ROCALTROL*30 cps 0,50 mcg;9,66;ROCHE SpA;024280024;AVB;X;;
Calcitriolo;CALCITRIOLO 3MCG/G 30G UNGUENTO USO DERMATOLOGICO;SILKIS*ung derm 30 g;10,70;GALDERMA ITALIA SpA;035765027;AVD;;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;TEVA ITALIA Srl;040161059;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;RANBAXY ITALIA SpA;040371054;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;MYLAN SpA;040913081;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;ACTAVIS ITALY SpA;040992113;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;SANDOZ SpA;041138177;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;TEVA ITALIA Srl;041166087;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;ZENTIVA ITALIA Srl;041259110;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;DOC GENERICI Srl;041341114;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;EG SpA;041376144;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;KRKA FARMACEUTICI MILANO Srl;041993167;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 8 mg;6,15;PENSA PHARMA SpA;042739058;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;KARBIS*28 cpr 8 mg;6,15;KRKA FARMACEUTICI MILANO Srl;041994169;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;BLOPRESS*28 cpr 8 mg;8,65;TAKEDA ITALIA SpA;033451168;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 8MG 28 UNITA' USO ORALE;RATACAND*28 cpr 8 mg;9,69;ASTRAZENECA SpA;033577180;FWA;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 16MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 16 mg;7,96;TEVA ITALIA Srl;040161212;FWB;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 16MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 16 mg;7,96;RANBAXY ITALIA SpA;040371167;FWB;X;;
Candesartan cilexetil;CANDESARTAN CILEXETIL 16MG 28 UNITA' USO ORALE;CANDESARTAN*28 cpr 16 mg;7,96;MYLAN SpA;040913131;FWB;X;;
